wavelength_nm,R30,R45,R60
4.622989501999999788e+02,3.178013509668768943e-01,3.384989284029157885e-01,1.144586435955142534e+00
4.624136353000000099e+02,3.175867305367939264e-01,3.383080529090952138e-01,1.144380044375551408e+00
4.625283507999999983e+02,3.175643674814446760e-01,3.382221406374943395e-01,1.144054120603403613e+00
4.626430664000000093e+02,3.176574285920252261e-01,3.380638940484801958e-01,1.144650138252820915e+00
4.627578125000000000e+02,3.176674400696213874e-01,3.385582205198757189e-01,1.145295553915179454e+00
4.628725281000000109e+02,3.178490739542574328e-01,3.385005969097107936e-01,1.144659686917771424e+00
4.629872437000000218e+02,3.177393716305840221e-01,3.385396972033287710e-01,1.145055078442812846e+00
4.631019896999999901e+02,3.176784979727395597e-01,3.384818854556837509e-01,1.144936815016106335e+00
4.632167357999999808e+02,3.175148499483820275e-01,3.386358264213237823e-01,1.145537379017058210e+00
4.633314819000000284e+02,3.174524521223852647e-01,3.388870903577749782e-01,1.144584917163849136e+00
4.634462280000000192e+02,3.173776098789159450e-01,3.386739168592657334e-01,1.144044045069457338e+00
4.635609741000000099e+02,3.173798168036517930e-01,3.387251128585014870e-01,1.145070721849610784e+00
4.636757202000000007e+02,3.174416886812693739e-01,3.387448122417634488e-01,1.146827490484664924e+00
4.637904662999999914e+02,3.173749740239721895e-01,3.383512247753139301e-01,1.146632446410118522e+00
4.639052429000000188e+02,3.174248920004378305e-01,3.382963052308457508e-01,1.146515432135181145e+00
4.640200194999999894e+02,3.171602319353463706e-01,3.382836022300287904e-01,1.145347185805136059e+00
4.641347655999999802e+02,3.170061873817190956e-01,3.380720599515453229e-01,1.146441612597844717e+00
4.642495422000000076e+02,3.166796801296372643e-01,3.379434657506104611e-01,1.149274667475139733e+00
4.643643187999999782e+02,3.165206933452904825e-01,3.379672730951943094e-01,1.151950067462163885e+00
4.644791260000000079e+02,3.163919057612058494e-01,3.375905789585670336e-01,1.152979693211625856e+00
4.645939025999999785e+02,3.164489098460849248e-01,3.378360484854077139e-01,1.155036275806648804e+00
4.647087096999999858e+02,3.164156325533594161e-01,3.376063265908771927e-01,1.155119522598297976e+00
4.648234863000000132e+02,3.162040745084614968e-01,3.375381005174057369e-01,1.155467374334742114e+00
4.649382934999999861e+02,3.162034758859271211e-01,3.382548351767936112e-01,1.155123476054922937e+00
4.650531005999999934e+02,3.158511680136503741e-01,3.385110969138694914e-01,1.155982225286777521e+00
4.651679077000000007e+02,3.155288802182242280e-01,3.385021148714349448e-01,1.156844274331459532e+00
4.652827148000000079e+02,3.153321958666345237e-01,3.387287877655205670e-01,1.157644923056555086e+00
4.653975219999999808e+02,3.155330571557448116e-01,3.389291148114884633e-01,1.156646922948935341e+00
4.655123596000000248e+02,3.155532822084621269e-01,3.390194926576695633e-01,1.157061951195270222e+00
4.656271666999999752e+02,3.150811795240412438e-01,3.389745247181586985e-01,1.157071547350457141e+00
4.657420043999999848e+02,3.150433666581267667e-01,3.388509454979675706e-01,1.157674870558139002e+00
4.658568419999999719e+02,3.150436344797971633e-01,3.388544021633586034e-01,1.156697880144231361e+00
4.659716796999999815e+02,3.149741038058141984e-01,3.388245740948008788e-01,1.155874910186091675e+00
4.660865173000000254e+02,3.152015987435123900e-01,3.388412720620101459e-01,1.157294862340663144e+00
4.662013549999999782e+02,3.153321922031787627e-01,3.390000680859418525e-01,1.159669073902631409e+00
4.663162231000000020e+02,3.154690979699550923e-01,3.391122452509351959e-01,1.159763383552112392e+00
4.664310608000000116e+02,3.156823192513716347e-01,3.392421190247064122e-01,1.159811752622505576e+00
4.665459290000000010e+02,3.156563142539372535e-01,3.393529746072178610e-01,1.160990392910403290e+00
4.666607971000000248e+02,3.156498291837100956e-01,3.396751764966224885e-01,1.162183319664573444e+00
4.667756653000000142e+02,3.156171332343443714e-01,3.399160173106697824e-01,1.163156584203953292e+00
4.668905333999999812e+02,3.155873374254447028e-01,3.398121984003073526e-01,1.163573622738414359e+00
4.670054016000000274e+02,3.155127288701757848e-01,3.397943730502916426e-01,1.163801416234911290e+00
4.671202698000000169e+02,3.155529305944397844e-01,3.398612401590861976e-01,1.165159398964186188e+00
4.672351684999999861e+02,3.154876696025569749e-01,3.400299164423997711e-01,1.164231730368570750e+00
4.673500366000000099e+02,3.156690518535646417e-01,3.397294358391353408e-01,1.163162243162163101e+00
4.674649352999999792e+02,3.157025066347464715e-01,3.398241701379167701e-01,1.163941196189424820e+00
4.675798340000000053e+02,3.157984444364817511e-01,3.399881030761984224e-01,1.164714582793282105e+00
4.676947326999999746e+02,3.157875223478355808e-01,3.401126559809420913e-01,1.165746871044935018e+00
4.678096312999999782e+02,3.157967241087079602e-01,3.403020398336216168e-01,1.166303313928425345e+00
4.679245300000000043e+02,3.158295233101185429e-01,3.405183355521460564e-01,1.166730180016912533e+00
4.680394592000000102e+02,3.158516584179909548e-01,3.407945760862832740e-01,1.168082854889033628e+00
4.681543578999999795e+02,3.156462996294749357e-01,3.409786763163483170e-01,1.168127684858819570e+00
4.682692870999999855e+02,3.157643407939272895e-01,3.411806176575611360e-01,1.168171208633745239e+00
4.683842162999999914e+02,3.155761733446315609e-01,3.412809831346983458e-01,1.167039119270487424e+00
4.684991454999999974e+02,3.155752153836212659e-01,3.410869663698821164e-01,1.168722397617497410e+00
4.686140747000000033e+02,3.154567224649743595e-01,3.410188068216552515e-01,1.169205715933529621e+00
4.687290039000000093e+02,3.153126461241513301e-01,3.406460931756253308e-01,1.170634860850395587e+00
4.688439331000000152e+02,3.151436247468688556e-01,3.406682562900764100e-01,1.171741906351569718e+00
4.689588928000000010e+02,3.149508672866127568e-01,3.408568669626579895e-01,1.171002095324170433e+00
4.690738220000000069e+02,3.146742355543343250e-01,3.408881477047553954e-01,1.171372735408448218e+00
4.691887816999999927e+02,3.146101593042582301e-01,3.410267574513185518e-01,1.172194396009751394e+00
4.693037415000000010e+02,3.143646503617518739e-01,3.415915607471509685e-01,1.173271441489580624e+00
4.694187011999999868e+02,3.145131656585761770e-01,3.416994951217769416e-01,1.173231785418151318e+00
4.695336608999999726e+02,3.145949145052329143e-01,3.420432338892295254e-01,1.175529211533137053e+00
4.696486206000000152e+02,3.144393768416438029e-01,3.421311301292453422e-01,1.177491492215103408e+00
4.697636107999999808e+02,3.142969494337282121e-01,3.422419145241882843e-01,1.176702300655851685e+00
4.698785705999999891e+02,3.143129869153034051e-01,3.423181083787688594e-01,1.178257821217087331e+00
4.699935608000000116e+02,3.142615836163605292e-01,3.421380338704969049e-01,1.179082557557572963e+00
4.701085509999999772e+02,3.141906573064932595e-01,3.422876936336593512e-01,1.179974695890914527e+00
4.702235413000000221e+02,3.138695503836254064e-01,3.421680354504066379e-01,1.180256274024217511e+00
4.703385314999999878e+02,3.138234845263293549e-01,3.420453614276384169e-01,1.181186502477214795e+00
4.704535217000000102e+02,3.136848291372038022e-01,3.423899034421770682e-01,1.181062912537367282e+00
4.705685119999999984e+02,3.135172719971770494e-01,3.424868746732435687e-01,1.181421522812210245e+00
4.706835327000000007e+02,3.130153352961895785e-01,3.422918936517236332e-01,1.182109521810675856e+00
4.707985229000000231e+02,3.131944308373117991e-01,3.422105679108674026e-01,1.182940391130330893e+00
4.709135436999999911e+02,3.130172993745812815e-01,3.422996462319807254e-01,1.183242129223047723e+00
4.710285645000000159e+02,3.130526477522369566e-01,3.420822158646883437e-01,1.184243733595691683e+00
4.711435852000000182e+02,3.126728618658872194e-01,3.421044806130963956e-01,1.183327338645439264e+00
4.712586059999999861e+02,3.124707751196118544e-01,3.419653612097238726e-01,1.183132256209861843e+00
4.713736266999999884e+02,3.123326421893946603e-01,3.415196870707711829e-01,1.182667859461450144e+00
4.714886475000000132e+02,3.120575533950439850e-01,3.411529668800243886e-01,1.183209633398923488e+00
4.716036986999999954e+02,3.119222553846692780e-01,3.410732184490625207e-01,1.183986586258141793e+00
4.717187500000000000e+02,3.116835516542182938e-01,3.412340931952063117e-01,1.185891066150526640e+00
4.718337708000000248e+02,3.114960589799635193e-01,3.410296546510255822e-01,1.185378661567883851e+00
4.719488220000000069e+02,3.113929839044943804e-01,3.409113932605752351e-01,1.185257271611699581e+00
4.720638733000000116e+02,3.112065000343668397e-01,3.407168722518091886e-01,1.185286402486273927e+00
4.721789246000000162e+02,3.108414404318767810e-01,3.405885582527332089e-01,1.186195809513708399e+00
4.722940062999999782e+02,3.107601019781159879e-01,3.403159530525502463e-01,1.186868574045078395e+00
4.724090575999999828e+02,3.106198335661065624e-01,3.401141354202695255e-01,1.187918516878509134e+00
4.725241394000000241e+02,3.107241978200896426e-01,3.405424248208446247e-01,1.187874915436434531e+00
4.726391906999999719e+02,3.105378895695123376e-01,3.406783960921420107e-01,1.187539742557548017e+00
4.727542725000000132e+02,3.103313370680922390e-01,3.408274680656644962e-01,1.187675119634518328e+00
4.728693541999999752e+02,3.103356970346531907e-01,3.408706251747978255e-01,1.188024546058104924e+00
4.729844360000000165e+02,3.103855263871402315e-01,3.407007442593666946e-01,1.187920694988139347e+00
4.730995178000000010e+02,3.101236119958832305e-01,3.403134941055023233e-01,1.188219431415861616e+00
4.732146301000000221e+02,3.101001469790610199e-01,3.401366693005800079e-01,1.189065223364547563e+00
